city,temperature,carbon_intensity,date_time
Paris,5.42,64.0,2025-01-15 13:04:50
Paris,5.32,64.0,2025-01-15 13:36:11
Paris,5.32,64.0,2025-01-15 13:35:03
Paris,5.37,41.0,2025-01-31 15:29:16
Paris,5.37,41.0,2025-01-31 15:29:16
Paris,5.37,41.0,2025-01-31 15:29:16
Paris,5.37,41.0,2025-01-31 15:34:02
Paris,5.37,41.0,2025-01-31 15:34:02
Paris,5.37,41.0,2025-01-31 15:34:02
Paris,5.37,41.0,2025-01-31 15:34:02
Paris,5.37,41.0,2025-01-31 15:33:28
Paris,5.37,41.0,2025-01-31 15:33:28
Paris,5.37,41.0,2025-01-31 15:33:28
Paris,5.37,38.0,2025-01-31 15:33:28
Paris,5.13,38.0,2025-01-31 15:43:46
Paris,5.37,38.0,2025-01-31 15:39:28
Paris,4.91,39.0,2025-01-31 16:10:04
Paris,4.91,39.0,2025-01-31 16:10:04
Paris,4.91,39.0,2025-01-31 16:10:04
Paris,4.36,39.0,2025-01-31 16:25:35
Paris,4.36,39.0,2025-01-31 16:25:35
Paris,4.36,39.0,2025-01-31 16:25:35
Paris,4.36,39.0,2025-01-31 16:25:35
Paris,4.36,39.0,2025-01-31 16:25:35
Paris,4.16,39.0,2025-01-31 16:34:14
Paris,4.36,39.0,2025-01-31 16:28:16
Paris,4.36,39.0,2025-01-31 16:28:16
Paris,4.36,39.0,2025-01-31 16:28:16
Paris,4.14,39.0,2025-01-31 16:38:25
Paris,4.14,39.0,2025-01-31 16:38:25
Paris,4.14,39.0,2025-01-31 16:38:25
Paris,4.14,39.0,2025-01-31 16:38:25
Paris,4.16,40.0,2025-01-31 16:35:41
Paris,4.16,40.0,2025-01-31 16:35:41
Paris,4.16,40.0,2025-01-31 16:35:41
Paris,4.16,40.0,2025-01-31 16:35:41
Paris,4.16,40.0,2025-01-31 16:35:41
Paris,4.03,40.0,2025-01-31 16:45:00
Paris,4.03,40.0,2025-01-31 16:45:00
Paris,4.03,40.0,2025-01-31 16:43:27
Paris,4.03,40.0,2025-01-31 16:43:27
Paris,4.03,40.0,2025-01-31 16:43:27
Paris,4.03,40.0,2025-01-31 16:43:27
Paris,4.03,40.0,2025-01-31 16:46:15
Paris,4.03,41.0,2025-01-31 16:50:01
Paris,4.03,41.0,2025-01-31 16:50:01
Paris,4.03,41.0,2025-01-31 16:50:01
Paris,4.03,41.0,2025-01-31 17:00:02
Paris,4.03,41.0,2025-01-31 17:00:02
Paris,4.03,41.0,2025-01-31 17:00:02
Paris,4.03,41.0,2025-01-31 17:00:02
Paris,3.94,41.0,2025-01-31 17:03:01
Paris,3.94,41.0,2025-01-31 17:03:01
Paris,3.94,41.0,2025-01-31 17:03:01
Paris,3.94,41.0,2025-01-31 17:03:01
Paris,3.94,41.0,2025-01-31 17:10:17
Paris,3.94,41.0,2025-01-31 17:10:17
Paris,3.94,41.0,2025-01-31 17:05:07
Paris,3.94,41.0,2025-01-31 17:05:07
Paris,3.94,41.0,2025-01-31 17:05:07
Paris,3.94,41.0,2025-01-31 17:15:26
Paris,3.94,41.0,2025-01-31 17:15:26
Paris,3.94,41.0,2025-01-31 17:15:26
Paris,3.56,41.0,2025-01-31 17:27:00
Paris,3.59,41.0,2025-01-31 17:23:43
Paris,3.59,41.0,2025-01-31 17:23:43
Paris,3.37,41.0,2025-01-31 17:32:35
Paris,3.37,41.0,2025-01-31 17:32:35
Paris,3.37,41.0,2025-01-31 17:33:15
