zone,power_Consumption_Breakdown,power_Production_Breakdown,datetime
France Métropolitaine,"{""nuclear"":44794,""geothermal"":0,""biomass"":1010,""coal"":662,""wind"":4924,""solar"":2120,""hydro"":8443,""gas"":3866,""oil"":78,""unknown"":42,""hydro discharge"":1332,""battery discharge"":16}","{""nuclear"":47255,""geothermal"":null,""biomass"":986,""coal"":549,""wind"":4584,""solar"":1469,""hydro"":8688,""gas"":3400,""oil"":79,""unknown"":null,""hydro discharge"":1370,""battery discharge"":17}",2025-02-10 15:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":6,""coal"":1,""wind"":2,""solar"":30,""hydro"":27,""gas"":14,""oil"":109,""unknown"":5,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":30,""hydro"":26,""gas"":0,""oil"":107,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-10 15:00:00
France Métropolitaine,"{""nuclear"":44794,""geothermal"":0,""biomass"":1010,""coal"":662,""wind"":4924,""solar"":2120,""hydro"":8443,""gas"":3866,""oil"":78,""unknown"":42,""hydro discharge"":1332,""battery discharge"":16}","{""nuclear"":47255,""geothermal"":null,""biomass"":986,""coal"":549,""wind"":4584,""solar"":1469,""hydro"":8688,""gas"":3400,""oil"":79,""unknown"":null,""hydro discharge"":1370,""battery discharge"":17}",2025-02-10 15:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":6,""coal"":1,""wind"":2,""solar"":30,""hydro"":27,""gas"":14,""oil"":109,""unknown"":5,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":30,""hydro"":26,""gas"":0,""oil"":107,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-10 15:00:00
France Métropolitaine,"{""nuclear"":44794,""geothermal"":0,""biomass"":1010,""coal"":662,""wind"":4924,""solar"":2120,""hydro"":8443,""gas"":3866,""oil"":78,""unknown"":42,""hydro discharge"":1332,""battery discharge"":16}","{""nuclear"":47255,""geothermal"":null,""biomass"":986,""coal"":549,""wind"":4584,""solar"":1469,""hydro"":8688,""gas"":3400,""oil"":79,""unknown"":null,""hydro discharge"":1370,""battery discharge"":17}",2025-02-10 15:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":6,""coal"":1,""wind"":2,""solar"":30,""hydro"":27,""gas"":14,""oil"":109,""unknown"":5,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":30,""hydro"":26,""gas"":0,""oil"":107,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-10 15:00:00
France Métropolitaine,"{""nuclear"":42307,""geothermal"":0,""biomass"":922,""coal"":472,""wind"":2407,""solar"":0,""hydro"":9295,""gas"":6645,""oil"":329,""unknown"":38,""hydro discharge"":2914,""battery discharge"":7}","{""nuclear"":46801,""geothermal"":null,""biomass"":988,""coal"":488,""wind"":2548,""solar"":0,""hydro"":10371,""gas"":6952,""oil"":367,""unknown"":null,""hydro discharge"":3251,""battery discharge"":8}",2025-02-11 20:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":0,""coal"":18,""wind"":0,""solar"":0,""hydro"":85,""gas"":12,""oil"":106,""unknown"":0,""hydro discharge"":0,""battery discharge"":4}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":0,""hydro"":84,""gas"":0,""oil"":106,""unknown"":null,""hydro discharge"":null,""battery discharge"":4}",2025-02-11 20:00:00
France Métropolitaine,"{""nuclear"":44181,""geothermal"":0,""biomass"":993,""coal"":597,""wind"":2811,""solar"":1,""hydro"":10444,""gas"":7275,""oil"":344,""unknown"":50,""hydro discharge"":3671,""battery discharge"":0}","{""nuclear"":46884,""geothermal"":null,""biomass"":994,""coal"":488,""wind"":2734,""solar"":0,""hydro"":10919,""gas"":7235,""oil"":367,""unknown"":null,""hydro discharge"":3925,""battery discharge"":-6}",2025-02-11 20:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":15,""wind"":1,""solar"":0,""hydro"":86,""gas"":15,""oil"":107,""unknown"":1,""hydro discharge"":0,""battery discharge"":2}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":0,""hydro"":85,""gas"":0,""oil"":107,""unknown"":null,""hydro discharge"":null,""battery discharge"":2}",2025-02-11 20:00:00
