city,temperature,dateTime,description,cloud
Paris,6.01,2025-02-10 16:26:57,Mist,100
Paris,6.01,2025-02-10 16:26:57,Mist,100
Paris,6.01,2025-02-10 16:26:57,Mist,100
Paris,3.67,2025-02-11 21:27:27,Clouds,75
Paris,3.38,2025-02-11 21:42:15,Clear,0
Paris,3.14,2025-02-11 21:53:06,Clear,0
Paris,3.38,2025-02-11 22:03:32,Clear,0
Paris,2.98,2025-02-11 22:13:43,Clear,0
Paris,2.53,2025-02-11 23:11:33,Mist,0
Paris,2.62,2025-02-11 23:21:28,Clear,0
Paris,4.97,2025-02-12 12:01:46,Clouds,100
Paris,5.16,2025-02-12 12:09:05,Clouds,100
Paris,5.13,2025-02-12 12:28:52,Clouds,100
Paris,5.13,2025-02-12 12:34:37,Clouds,100
Paris,5.19,2025-02-12 12:51:17,Clouds,100
Paris,5.35,2025-02-12 13:17:10,Clouds,100
Paris,5.32,2025-02-12 13:24:59,Clouds,100
Paris,5.07,2025-02-12 13:41:06,Clouds,100
Paris,5.25,2025-02-12 14:46:18,Clouds,100
Paris,5.65,2025-02-12 17:36:11,Clouds,100
Paris,5.65,2025-02-12 17:44:05,Clouds,100
Paris,5.65,2025-02-12 18:15:19,Clouds,100
Paris,5.16,2025-02-12 22:12:55,Clouds,100
Paris,4.48,2025-02-13 10:35:27,Clouds,100
Paris,4.48,2025-02-13 10:36:38,Clouds,100
Paris,5.15,2025-02-13 11:18:44,Clouds,100
Paris,5.15,2025-02-13 11:18:44,Clouds,100
Paris,5.21,2025-02-13 11:29:02,Clouds,100
Paris,5.79,2025-02-13 12:35:02,Clouds,100
Paris,5.79,2025-02-13 12:36:44,Clouds,100
Paris,5.98,2025-02-13 13:22:28,Clouds,100
Paris,5.97,2025-02-13 13:43:15,Clouds,100
