zone,datetime,power_Consumption_Breakdown,power_Production_Breakdown
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR-COR,2025-02-13T12:00:00.000Z,"{'nuclear': 0, 'geothermal': 0, 'biomass': 1, 'coal': 4, 'wind': 0, 'solar': 88, 'hydro': 26, 'gas': 7, 'oil': 98, 'unknown': 0, 'hydro discharge': 0, 'battery discharge': 0}","{'nuclear': None, 'geothermal': None, 'biomass': 0, 'coal': None, 'wind': 0, 'solar': 87, 'hydro': 26, 'gas': 0, 'oil': 98, 'unknown': None, 'hydro discharge': None, 'battery discharge': 0}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
FR,2025-02-13T12:00:00.000Z,"{'nuclear': 42261, 'geothermal': 0, 'biomass': 852, 'coal': 487, 'wind': 1334, 'solar': 5606, 'hydro': 8413, 'gas': 6218, 'oil': 105, 'unknown': 2, 'hydro discharge': 1669, 'battery discharge': 0}","{'nuclear': 48815, 'geothermal': None, 'biomass': 968, 'coal': 549, 'wind': 1413, 'solar': 6005, 'hydro': 9583, 'gas': 7074, 'oil': 120, 'unknown': None, 'hydro discharge': 1936, 'battery discharge': -4}"
